tank,sample_date,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0.5um,X5.10um,X10.15um,X15.20um,X20.25um,X25.30um,X30.35um,X35.40um,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,size_NMDS1,size_NMDS2,comp_NMDS1,comp_NMDS2
19,7/25/18,6,28.79319444,300,5,low,2.831448895,0.028914265,0.001189216,0.0003854,0.75,0.35,0,33.94,3.51e-05,1752,3.243534102,5e-04,5.416100402,557.5102721,301.9431944,38.42089601,0.541079051,14276,5.8,2.73,20.02,5.01,136,0.8,7250,954.2,1.11e-05,75.3,15.4,2.2,4.4,1.7,0,0,0,13584.12,2778.16,396.88,793.76,306.68,0,0,0,0,2.308863761,-0.090746308,0.1248415,NA,NA
20,7/25/18,6,27.90888889,200,5,low,2.624015249,0.015480066,0.000706278,0.0003612,1.13,0.66,0,6.11,7.9e-06,395,2.596597096,0.0058,7.8671055,516.7936605,301.0588889,38.53375038,0.42822468,7521,5.79,0.91,20.08,5.33,196.8,0.8,4239,687.6,1.11e-05,62.5,30.2,2.1,2.1,3.1,0,0,0,2041.875,986.634,68.607,68.607,101.277,0,0,0,0,1.653177906,0.074754526,0.079325806,NA,NA
21,7/25/18,6,27.46965278,100,6,high,2.669811326,0.015192545,0.000504027,0.0003378,0.99,0.11,0,10.4,1.15e-05,575,2.759667845,0.0012,6.29156914,557.5102721,300.6196528,38.59005214,0.371922923,21928,4.97,2.11,23.01,6.99,61.3,0.8,5629.6,377.4,7.01e-06,83.9,13.2,2.1,0,0.4,0.4,0,0,4638.831,729.828,116.109,0,22.116,22.116,0,0,2211.6,1.090832051,-0.183112846,-0.029871441,NA,NA
22,7/25/18,6,28.17048611,200,6,high,2.707430832,0.018533626,0.001285759,0.0004368,1.14,0.25,0,14.98,1.64e-05,818.5,2.913018684,0.0024,6.98471632,577.8685779,301.3204861,38.50029656,0.461678502,13848,3.86,1.73,21.61,6.86,75.2,0.8,5286.4,489.6,3.28e-06,89.3,7.9,1.7,0,0.6,0.6,0,0,7113.638,629.314,135.422,0,47.796,47.796,0,0,4779.6,1.763717765,-0.280199167,0.002337855,NA,NA
23,7/25/18,6,26.06715278,0,6,high,2.529625178,0.007287629,0.000618949,0.0003128,0.66,0.63,0,11.45,1.27e-05,637,2.804139432,0.001,6.109247583,701.1882632,299.2171528,38.77093264,0.191042424,8126,4.3,2,11.35,2.45,27.9,0.8,764.7,92.8,4.54e-06,89.4,8.7,1.9,0,0,0,0,0,5455.188,530.874,115.938,0,0,0,0,0,0,1.595630267,-0.258566321,-0.12456015,NA,NA
24,7/25/18,6,29.62597222,300,6,high,2.857518381,0.023989767,6e-04,0.000504,0.34,0.19,0,22.92,2.35e-05,1172.5,3.069112851,0.0011,6.204557763,425.1812844,302.7759722,38.31522029,0.64675477,11825,5.76,1.98,23.95,4.35,165.8,0.8,7192.4,774,1.09e-05,76.8,15.9,4,0.7,2,0,0.7,0,9355.008,1936.779,487.24,85.267,243.62,0,85.267,0,8526.7,1.461235441,-0.090894816,0.108350322,NA,NA
25,7/25/18,6,28.56409722,200,7,low,2.814778716,0.018464406,6e-04,0.0001894,0.9,0.3,0,12.12,1.33e-05,666,2.823474229,NA,NA,577.8685779,301.7140972,38.45006972,0.511905338,16201,4.82,1.9,21.65,6.03,78.6,0.8,5313,400.9,6.39e-06,79.7,14.5,4.4,1,0,0.5,0,0,5139.056,934.96,283.712,64.48,0,32.24,0,0,3224,1.917556159,-0.120938223,0.053491798,NA,NA
26,7/25/18,6,29.62972222,300,7,low,2.78097957,0.016451961,0.001674374,0.0002116,3.45,1.15,0,7.61,1.22e-05,610.5,2.785685668,0.001,6.109247583,445.5395902,302.7797222,38.31474575,0.647229313,12996,5.72,2.04,22.91,5.07,190.8,0.8,4204.9,630.2,1.07e-05,75.3,14.5,3.6,2.4,2.4,1.8,0,0,3072.993,591.745,146.916,97.944,97.944,73.458,0,0,7345.8,1.737388935,-0.088335834,0.172169386,NA,NA
27,7/25/18,6,28.13298611,100,7,low,2.53416485,0.010911997,0.000905292,0.0004148,1.44,0.45,0,11.78,1.37e-05,683.5,2.834738519,0.0031,7.240649694,618.5851895,301.2829861,38.5050886,0.456886459,14673,5.34,1.85,19.49,5.44,84.5,0.8,3874.7,351.2,8.69e-06,72.7,21.4,3.7,1.1,1.1,0,0,0,4560.471,1342.422,232.101,69.003,69.003,0,0,0,0,1.66068342,-0.023504722,0.036468712,NA,NA
28,7/25/18,6,26.65673611,0,7,low,2.454396271,0.01181553,0.000961623,3.7e-05,0.53,0.2,0.06,4.07,4.86e-06,243,2.385606274,0.001,6.109247583,659.301801,299.8067361,38.69468787,0.267287193,6418,6.62,1.97,28.72,5.6,172.5,0.8,2752,506,1.66e-05,72,15.9,7.3,4.9,0,0,0,0,1581.12,349.164,160.308,107.604,0,0,0,0,0,1.785808429,-0.021528671,0.173242698,NA,NA
29,7/25/18,6,26.58423611,100,8,high,2.711515845,0.011087487,0.001195204,0.0004084,0.72,0.63,0,14.32,1.57e-05,783.5,2.894039001,0.0018,6.697034248,659.301801,299.7342361,38.70404737,0.257927686,9940,3.69,0.8,22.59,3.34,78.8,0.8,6035.8,554.4,2.87e-06,91.3,6.3,0.8,0.8,0,0.8,0,0,6963.451,480.501,61.016,61.016,0,61.016,0,0,6101.6,1.461388089,-0.336985581,0.017736767,NA,NA
30,7/25/18,6,27.45145833,200,8,high,2.580261477,0.009719169,0.000431963,0.000393,0.73,0.68,0.48,11.13,1.3e-05,651,2.813580989,0.0011,6.204557763,638.9434952,300.6014583,38.59238787,0.36958719,12819,4.48,1.55,22.8,3.4,117.7,0.6,6208.3,578.7,5.13e-06,80,15.2,2.8,0.5,1.3,0.3,0,0,4920,934.8,172.2,30.75,79.95,18.45,0,0,1845,1.508689604,-0.112754501,0.044516177,NA,NA
31,7/25/18,6,25.306875,0,8,high,2.429673076,0.009632355,6e-04,0.0003904,0.18,0.67,0,4.87,5.71e-06,286,2.456366033,0.0013,6.371611847,769.282284,298.456875,38.86969625,0.092278813,7771,4.58,2.32,12.89,3.07,48.3,0.8,676.5,89.4,5.48e-06,63.8,28.1,3.8,1.7,1.3,0.4,0,0,1663.904,732.848,99.104,44.336,33.904,10.432,0,0,1043.2,1.105078335,0.057230626,0.06748796,NA,NA
32,7/25/18,6,28.78916667,300,8,high,2.613748769,0.014726532,0.000787376,0.0001842,0.37,0.46,0,21.26,2.21e-05,1104.5,3.04316572,0.0031,7.240649694,577.8685779,301.9391667,38.42140853,0.540566529,2706,6.41,2.45,22.1,4.84,178,0.8,5655.2,783.7,1.5e-05,79.3,14.6,2.4,0,1.2,2.4,0,0,8967.244,1650.968,271.392,0,135.696,271.392,0,0,27139.2,0.934122925,-0.171884917,0.098602144,NA,NA
33,7/25/18,6,25.424375,0,9,none,2.525524681,0.019102787,0.00063676,0.0003986,0,0.1,2.11,7.76,9.97e-06,498.5,2.697665163,4e-04,5.192956851,557.5102721,298.574375,38.85439959,0.107575468,7225,5.17,2.26,12.81,2.78,38.7,0.8,1100.8,101.2,7.89e-06,75.8,20.1,3.7,0.5,0,0,0,0,3848.366,1020.477,187.849,25.385,0,0,0,0,0,1.048093199,-0.05560189,-0.039463142,NA,NA
34,7/25/18,6,26.56111111,100,9,none,2.637580024,0.010802802,0.001201846,0.0001666,0.53,0.51,0,14.27,1.53e-05,765.5,2.883945195,7e-04,5.752572639,723.8862701,299.7111111,38.70703369,0.254941373,9858,4.85,2.19,15.34,2.36,58.8,0.8,1889.7,121.4,6.51e-06,77,18.3,4,0,0.8,0,0,0,5848.92,1390.068,303.84,0,60.768,0,0,0,0,0.791660083,-0.078895061,-0.031917465,NA,NA
35,7/25/18,6,28.66888889,300,9,none,2.742052498,0.011203698,0.001050709,0.0003278,1.19,0.28,0,27.01,2.85e-05,1424,3.153509989,0.001,6.109247583,516.7936605,301.8188889,38.43671984,0.525255222,18543,4.46,1.11,12.51,2.46,30.8,0.8,1025.8,130,5.06e-06,91.6,6.3,1.3,0.85,0,0,0,0,13151.012,904.491,186.641,122.0345,0,0,0,0,0,1.810108,-0.306222373,-0.047606006,NA,NA
36,7/25/18,6,27.74277778,200,9,none,2.465430002,0.005587349,0.000672986,0.0003196,0.58,0.27,0,13.11,1.4e-05,698,2.843855423,0.0027,7.102499356,638.9434952,300.8927778,38.55502335,0.406951707,7032,3.42,1.79,11.49,1.84,21,0.8,795.3,85.7,2.28e-06,86.7,7.8,2.2,2.2,1.1,0,0,0,6045.591,543.894,153.406,153.406,76.703,0,0,0,0,2.549689423,-0.223203442,0.083122266,NA,NA
37,7/25/18,6,28.24479167,200,10,high,2.610732113,0.015712915,6e-04,0.0003086,0.8,0.69,0,6.61,8.09e-06,405,2.607455023,3e-04,4.905274778,577.8685779,301.3947917,38.49080473,0.471170326,3751,9.57,2,22.81,3.08,467.4,0.8,6212.9,1475.1,5e-05,81.3,8.3,0,2.1,2.1,6.3,0,0,2872.329,293.239,0,74.193,74.193,222.579,0,0,22257.9,1.503974293,-0.328054597,0.255540835,NA,NA
38,7/25/18,6,29.13333333,300,10,high,2.595119111,0.016837738,0.000846213,0.0004288,0.67,0.44,0,15.42,1.65e-05,826.5,2.917242858,0.0029,7.17395832,577.8685779,302.2833333,38.37766359,0.584311474,14396,5.22,2.38,23.49,3.41,133.6,0.8,6784,625.9,8.12e-06,67.9,27.7,1.6,0,2.2,0.5,0,0,5571.195,2272.785,131.28,0,180.51,41.025,0,0,4102.5,2.048607314,0.007590781,-0.057585405,NA,NA
39,7/25/18,6,26.92284722,100,10,high,2.559240943,0.014777002,0.001584683,0.0002974,0.84,0.38,0,9.63,1.09e-05,542.5,2.734399743,0.0017,6.639875834,598.2268837,300.0728472,38.66037258,0.301602482,5626,5.71,2.18,17.15,4.65,117.4,0.8,2639.2,345.6,1.06e-05,61.1,26.4,8.3,2.8,0,0,0,0,3133.208,1353.792,425.624,143.584,0,0,0,0,0,3.117296749,0.129229469,0.068015339,NA,NA
40,7/25/18,6,26.06076389,0,10,high,2.372382469,0.008858373,0.000737154,0.0002934,1.28,0.69,0,10.93,1.29e-05,645,2.809559715,NA,NA,638.9434952,299.2107639,38.77176049,0.190214568,3985,7.21,3.69,18.12,3.75,195.1,0.9,3112.8,486.9,2.14e-05,54.9,27.5,15.7,2,0,0,0,0,3199.572,1602.7,914.996,116.56,0,0,0,0,0,1.467742336,0.212593048,0.099000097,NA,NA
41,7/25/18,6,25.250625,0,11,none,2.207802496,0.006668553,0.00029248,0.000287,0.24,0.61,0.92,11.08,1.29e-05,642.5,2.807873132,0.001,6.109247583,769.282284,298.400625,38.87702338,0.084951682,2575,6.45,1.98,14.97,3.76,134,0.9,1757.1,347.2,1.53e-05,66.7,27.3,3,3,0,0,0,0,4215.44,1725.36,189.6,189.6,0,0,0,0,0,1.511930002,0.058491245,0.024018347,NA,NA
42,7/25/18,6,26.50604167,100,11,none,2.492257231,0.00435309,0.00146367,0.0002788,0.84,0.78,0,6.59,8.21e-06,410.5,2.613313161,5e-04,5.416100402,659.301801,299.6560417,38.71414709,0.247827968,936,6.11,4.3,11.96,2.84,139.5,4.4,755.1,218.1,1.3e-05,50,33.3,16.7,0,0,0,0,0,1762.5,1173.825,588.675,0,0,0,0,0,0,1.70733748,0.243753089,-0.193324688,NA,NA
43,7/25/18,6,29.29958333,300,11,none,2.593934616,0.012957227,0.001576835,0.000301,1.12,0.75,0,6.41,8.29e-06,414,2.617000341,0.0036,7.390181428,537.1519663,302.4495833,38.35656821,0.605406847,6757,5.26,2.05,25.64,3.45,67.4,0.9,898,133,8.3e-06,54.7,40.7,4.7,0,0,0,0,0,1875.663,1395.603,161.163,0,0,0,0,0,0,1.865198307,0.178666275,-0.136327799,NA,NA
44,7/25/18,6,27.97125,200,11,none,2.560370054,0.012510426,0.000441216,0.0002434,0.63,0.33,0,3.74,4.69e-06,235,2.371067862,0.0019,6.751101469,537.1519663,301.12125,38.52577018,0.436204879,18675,3.93,1.55,18.54,2.91,28.5,0.8,3338.38,219.2,3.46e-06,92.5,6.3,0.8,0,0.4,0,0,0,1847.225,125.811,15.976,0,7.988,0,0,0,0,1.603698283,-0.321146584,-0.098623881,NA,NA
45,7/25/18,6,27.05159722,100,12,low,2.410196052,0.013177631,0.001142347,8.36e-05,0.89,0,5.77,8.6,1.53e-05,763,2.882524538,0.0014,6.445719819,701.1882632,300.2015972,38.64379198,0.318183083,9142,3.5,1.94,13.15,3.96,24.6,0.8,282.4,38.4,2.45e-06,84.6,15.4,0,0,0,0,0,0,6067.512,1104.488,0,0,0,0,0,0,0,1.575205714,-0.234527034,-0.18969401,NA,NA
46,7/25/18,6,28.04506944,200,12,low,2.654504432,0.013402706,0.00017376,0.00020683,0.25,0.5,0,8.04,8.79e-06,439.5,2.642958879,0.0017,6.639875834,649.1226481,301.1950694,38.51632796,0.445647101,4448,5.57,2.7,12.4,3.35,74.34,0.8,997.1,203.7,9.86e-06,75.9,20.7,3.5,0,0,0,0,0,3253.074,887.202,150.01,0,0,0,0,0,0,1.617944567,-0.06155855,-0.108578038,NA,NA
47,7/25/18,6,26.11993056,0,12,low,2.380951072,0.009713741,0.000978243,0.0001434,0.43,0.82,0,12.32,1.36e-05,678.5,2.831549852,NA,NA,649.1226481,299.2699306,38.76409519,0.197879875,6711,5.14,0.74,22.87,4,114.1,0.8,5784.2,626.9,7.75e-06,74.4,21,3.5,0,1.2,0,0,0,4888.08,1379.7,229.95,0,78.84,0,0,0,0,1.809512183,-0.047688768,-0.029228566,NA,NA
48,7/25/18,6,29.450625,300,12,low,2.473422907,0.017847205,0.000957829,0.0003086,0.97,0,0.43,11.94,1.33e-05,667,2.824125834,0.0023,6.942156706,516.7936605,302.600625,38.33742271,0.624552346,6056,5.83,2.6,22.27,4.22,101.1,0.8,2919,430.8,1.13e-05,80.5,14.3,2.6,0,2.6,0,0,0,5262.285,934.791,169.962,0,169.962,0,0,0,0,1.937321555,-0.156284951,0.01372956,NA,NA
1,8/8/18,8,27.639375,100,1,high,2.681260356,0.002954619,9.56e-05,0.0003428,1.22,0.31,0.67,13.38,1.56e-05,779,2.891537458,0.00234,6.959398512,679.6601068,300.789375,38.56827747,0.393697593,28797,7.55,1.33,27.89,5.49,226.9,0.8,6916.5,802.8,2.46e-05,70,19.4,5.2,1.1,3.3,0.8,0,0,5194,1439.48,385.84,81.62,244.86,59.36,0,0,5936,0.079123402,-0.012902098,0.13317581,-1.052055111,-0.53057229
2,8/8/18,8,28.10090278,200,1,high,2.777926002,0.010277858,0.00054255,0.000547,1.1,0.18,0,31.48,3.28e-05,1638,3.214313897,0.00226,6.924612396,567.689425,301.2509028,38.50918941,0.452785653,35454,6.01,1.34,30.96,5.45,167.6,0.6,6690.8,743.1,1.24e-05,75.9,17.4,3.1,1.3,1.3,0.7,0.2,0,12697.311,2910.846,518.599,217.477,217.477,117.103,33.458,0,15056.1,0.387159721,-0.075252635,0.104241704,-1.011394548,-0.362606647
3,8/8/18,8,26.306875,0,1,high,2.609928103,0.004942861,0.000166937,0.0002948,0,0.52,2.04,12.38,1.49e-05,747,2.873320602,0.00177,6.680227129,814.6782978,299.456875,38.7398956,0.22207946,22491,3.75,1.04,23.66,5.61,116.1,0.8,4562.7,506.9,3.01e-06,81.9,11.5,4.5,0.4,0.4,1.4,0,0,6152.328,863.88,338.04,30.048,30.048,105.168,0,0,10516.8,1.479457175,-0.16476095,0.086399575,-1.155294156,0.051670974
4,8/8/18,8,29.00020833,300,1,high,2.824455313,0.004420354,0.000223419,0.0003728,1.18,0.08,0,24.92,2.62e-05,1309,3.116939647,0.00168,6.628041376,810.1386964,302.1502083,38.39457248,0.567402578,30005,4.1,1.19,20.41,2.77,69.76,0.8,4449.7,332.22,3.93e-06,71.9,24,2.3,0.3,0.8,0,0,0,9520.279,3177.84,304.543,39.723,105.928,0,0,0,0,0.276805659,-0.025393814,-0.020292071,0.281913801,-0.328903502
5,8/8/18,8,28.3,200,2,none,2.839640783,0.007348932,0.000144659,0.0001476,0.2,0,0,22.85,2.31e-05,1152.5,3.061640934,0.00155,6.547502514,746.584277,301.45,38.48375543,0.478219631,37936,3.98,1.11,26.51,3.68,88.6,0.8,4786,389.7,3.6e-06,81.6,12,3.7,1,0.8,0.4,0,0,9904.608,1456.56,449.106,121.38,97.104,48.552,0,0,4855.2,1.304542744,-0.13771567,0.069455002,NA,NA
6,8/8/18,8,28.95347222,300,2,none,2.752211369,0.005973873,0.000828303,0.0002538,3.58,0.61,0,8.87,1.31e-05,653,2.814913181,0.00197,6.787281126,791.9802909,302.1034722,38.40051221,0.561462849,17363,6.73,2,24.6,4.91,190,0.7,10928,1096,1.74e-05,72.9,15.4,5.9,3.6,1.8,0.5,0,0,3451.086,729.036,279.306,170.424,85.212,23.67,0,0,2367,0.239360193,-0.042598172,0.164902191,-0.910894241,0.905009575
7,8/8/18,8,27.24916667,100,2,none,2.726718047,0.004662388,0.000305536,0.0003326,0.78,0.04,0,13.94,1.48e-05,738,2.868056362,0.00206,6.831953566,618.5851895,300.3991667,38.61837635,0.343598709,53148,3.71,1.25,25.16,3.25,52.5,0.8,3455.8,264.7,2.91e-06,88,8.4,1.5,1.3,0.4,1.2,0,0,6518.16,622.188,111.105,96.291,29.628,88.884,0,0,8888.4,1.182286146,-0.248552504,0.076026258,-0.604850422,0.402132337
8,8/8/18,8,26.43805556,0,2,none,2.503466868,0.004746411,0.000353709,0.0003336,0.52,0,0,17.68,1.82e-05,910,2.959041392,0.00151,6.521357234,638.9434952,299.5880556,38.72293257,0.23904249,16943,6.08,1.9,21.72,4.88,215.1,0.8,5364.8,688.9,1.28e-05,67.1,19.4,5.6,4.2,2.8,0.9,0,0,6302.032,1822.048,525.952,394.464,262.976,84.528,0,0,8452.8,1.313000589,0.01561742,0.187154281,-0.526634545,0.450120317
9,8/8/18,8,26.36243056,0,3,low,2.547879679,0.007797053,0.000211121,0.0002282,0.13,0.47,0,11.73,1.23e-05,616.5,2.789933081,0.00183,6.71356355,577.8685779,299.5124306,38.73270987,0.229265194,25625,3.08,1.42,15.72,2.25,34.8,0.8,1930.8,171.2,1.67e-06,92.7,4.9,1.5,0.6,0.3,0,0,0,5789.115,306.005,93.675,37.47,18.735,0,0,0,0,0.606720359,-0.310475084,-0.012833925,-0.642091423,0.479026798
10,8/8/18,8,27.53881944,100,3,low,2.456755691,0.004955956,0.000398907,0.0002192,0.68,0.6,0,8.27,9.55e-06,477.5,2.678973376,0.00127,6.348264483,659.301801,300.6888194,38.58117537,0.380799692,7111,4.05,1.68,17.35,2.4,51.7,0.8,2734.5,288.8,3.79e-06,84.6,12.1,1.1,0,1.1,0,0,0,3732.552,533.852,48.532,0,48.532,0,0,0,0,3.474506948,-0.210268087,-0.059524103,-0.321737761,0.703276948
11,8/8/18,8,29.32710227,300,3,low,2.923785189,0.011166494,8.72e-05,0.0002308,0.36,0,1.69,13.19,1.52e-05,762,2.881954971,0.00086,5.958424693,882.7723186,302.4771023,38.35307859,0.608896473,31921,3.48,1.58,24.45,7.5,67.8,0.8,7657.7,466.2,2.4e-06,82.8,15,0.7,0.5,0.7,0.3,0,0,6432.732,1165.35,54.383,38.845,54.383,23.307,0,0,2330.7,0.45277827,-0.168430269,0.001446384,-1.108576893,0.387281052
12,8/8/18,8,28.23431818,200,3,low,2.8728014,0.00674139,0.000602493,5.96e-05,0.31,0,0,28.89,2.92e-05,1460,3.164352856,0.00189,6.745824412,803.3292943,301.3843182,38.49214234,0.469832721,103922,2.81,1.52,24.56,2.62,42.8,0.6,5785.7,321.9,1.27e-06,89.6,8.9,0.3,0.23,0.68,0.08,0.08,0,13750.912,1365.883,46.041,35.2981,104.3596,12.2776,12.2776,0,2455.52,0.37939729,-0.298487732,-0.026054339,-0.673658896,0.261652479
13,8/8/18,8,28.72819444,300,4,none,2.998698998,0.008038243,0.000861415,0.0005284,0.85,0.65,0,24.72,2.62e-05,1311,3.117602692,0.00161,6.585481762,803.3292943,301.8781944,38.42916874,0.532806317,12926,5.94,1.9,22.31,4.83,123.4,0.8,5814.7,612.6,1.2e-05,81.2,12.7,3.6,0,0.6,0.6,1.2,0,10679.424,1670.304,473.472,0,78.912,78.912,157.824,0,23673.6,0.520594187,-0.202307508,0.117315249,-0.694852219,0.268728188
14,8/8/18,8,25.41159722,0,4,none,2.23965202,0.009967124,0.000543811,0.0001734,0.72,0.4,0.06,5.49,6.67e-06,333.5,2.523095838,0.00249,7.021530293,649.1226481,298.5615972,38.85606248,0.105912585,10350,3.93,1.57,14.52,4.62,40.3,0.8,1601.9,156.9,3.46e-06,76.1,19.5,2.7,0.9,0,0,0,0,2249.516,576.42,79.812,26.604,0,0,0,0,0,0.69875742,-0.07110567,-0.024577468,-0.25521396,1.037693809
15,8/8/18,8,27.86527778,200,4,none,2.844296301,0.007269746,0.000383551,0.0005116,1.02,0.07,0.63,27.98,2.97e-05,1485,3.171726454,0.00204,6.822197391,735.2352736,301.0152778,38.53933315,0.422641908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.411241531,NA,NA,-0.902690257,0.497847254
16,8/8/18,8,26.4975,100,4,none,2.486818163,0.004755403,0.000596523,0.000238,0.43,0.01,0,21.84,2.23e-05,1114,3.046885191,0.00115,6.249009525,618.5851895,299.6475,38.71525067,0.246724393,12205,7.03,1.68,23.56,5.78,328,0.8,4890.4,879.9,1.98e-05,64.5,19.4,3.9,3.9,5.8,2.6,0,0,7483.29,2250.788,452.478,452.478,672.916,301.652,0,0,30165.2,0.535783785,0.015277413,0.252185724,-0.553700062,0.665334109
17,8/8/18,8,25.93340278,0,5,low,2.576821981,0.003291735,0.000545672,0.0003638,0,0.33,0,23.22,2.36e-05,1177.5,3.070960916,0.00238,6.97634807,516.7936605,299.0834028,38.78827099,0.173704075,4618,8.87,2.23,21.59,5.25,475,0.8,5270.2,1054.9,3.98e-05,47.5,32.2,3.4,8.5,6.8,1.7,0,0,5863.875,3975.09,419.73,1049.325,839.46,209.865,0,0,20986.5,1.416144986,0.205302672,0.278844385,-0.208721199,0.333277635
18,8/8/18,8,26.72638889,100,5,low,2.563760637,0.006936817,0.000337378,0.0004572,0.48,0.1,0,26.23,2.68e-05,1340.5,3.127266818,0.00195,6.777076955,649.1226481,299.8763889,38.68570019,0.276274872,4460,6.37,2.08,20.46,4.57,192.2,0.8,4487.3,703.3,1.47e-05,73.7,17.5,3.5,1.8,3.5,0,0,0,10271.569,2438.975,487.795,250.866,487.795,0,0,0,0,2.478555929,-0.048900538,0.109731183,-0.476714266,0.5507959
19,8/8/18,8,28.95201389,300,5,low,2.901628282,0.006161587,9.72e-05,0.0006192,0.46,0,0,45.6,4.61e-05,2303,3.362293938,0.00114,6.240275845,791.9802909,302.1020139,38.40069758,0.561277479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.878822937,NA,NA,0.292259016,-0.300233746
20,8/8/18,8,28.08388889,200,5,low,2.754351707,0.007872351,0.00073035,0.0003348,2.52,0.49,0,20.32,2.33e-05,1166.5,3.066884743,0.00145,6.480811139,814.6782978,301.2338889,38.51136443,0.450610629,16101,8.54,2.26,22.65,4.95,242.2,0.8,6085.4,797.3,3.55e-05,72.7,15.1,3.4,5.4,2.4,1,0,0,7859.597,1632.461,367.574,583.794,259.464,108.11,0,0,10811,0.265479334,-0.067379611,0.197573349,0.066736018,0.284278442
21,8/8/18,8,27.62729167,100,6,high,2.805241475,0.006948605,0.000200545,0.0002516,0.44,0.29,0,26.9,2.76e-05,1381.5,3.140350889,0.00208,6.841615476,757.9332805,300.7772917,38.5698269,0.392148163,20829,3.41,0.99,24.85,5.88,129.8,0.8,7393.9,698.1,2.26e-06,85.6,9.3,2.6,0.8,1,0.6,0.2,0,12239.944,1329.807,371.774,114.392,142.99,85.794,28.598,0,11439.2,0.468941991,-0.208483839,0.097839049,-0.042052623,0.082619914
22,8/8/18,8,28.46159722,200,6,high,2.752639063,0.006596887,0.000786247,0.0003318,0.17,0.28,0,29.04,2.95e-05,1474.5,3.168644777,0.00151,6.521357234,746.584277,301.6115972,38.46313663,0.498838427,14539,7.02,1.73,28.01,6.21,327.3,0.8,6167.7,942.3,1.97e-05,49.5,35.6,6.7,2.8,4.9,0.5,0,0,7640.325,5494.86,1034.145,432.18,756.315,77.175,0,0,7717.5,0.627165915,0.211785453,0.158517711,-0.308393462,0.106418812
23,8/8/18,8,26.33236111,0,6,high,2.649685646,0.006162258,8e-04,0.000329,0.48,0.46,0,20.17,2.11e-05,1055.5,3.023458238,0.00093,6.03667689,618.5851895,299.4823611,38.73659881,0.225376246,4778,5.37,2.49,22.8,5.25,231.3,0.8,6205.2,965.3,8.84e-06,75.9,14.5,4.8,0.7,3.5,0,0,0,8143.311,1555.705,514.992,75.103,375.515,0,0,0,0,2.739306006,-0.085846196,0.10454428,-0.190623291,0.121492417
24,8/8/18,8,29.93777778,300,6,high,2.812624373,0.011675524,0.000303824,0.0004724,0.33,0.32,0,30.21,3.09e-05,1543,3.188365926,0.00574,7.856706793,928.1683324,303.0877778,38.275803,0.68617206,69140,2.95,1.02,23.91,6.92,46.2,0.8,7054,338.2,1.46e-06,84.2,14.3,0.9,0.1,0.5,0.05,0,0,13520.836,2296.294,144.522,16.058,80.29,8.029,0,0,802.9,0.339527204,-0.179904424,-0.049316096,0.050972582,0.12529274
25,8/8/18,8,28.74451389,200,7,low,2.982110077,0.007175519,3e-04,0.0003342,1.97,0.3,0,23.38,2.57e-05,1282.5,3.108057374,0.00285,7.156566577,798.789693,301.8945139,38.42709139,0.534883674,14732,5.87,1.47,22.22,5.65,187.7,0.7,5743.1,790.6,1.15e-05,74.8,17.3,3.8,0.9,2,0.9,0,0,9298.388,2150.563,472.378,111.879,248.62,111.879,0,0,11187.9,2.247498462,-0.062777107,0.10087648,0.098247401,-0.065620925
26,8/8/18,8,29.83368056,300,7,low,2.781848092,0.011123207,0.000341533,0.0001776,0.58,1.11,0,10.59,1.23e-05,614,2.788168371,0.00158,6.56667243,928.1683324,302.9836806,38.28895356,0.673021501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.62209327,NA,NA,0.124919381,0.151242571
27,8/8/18,8,28.22138889,100,7,low,2.916022928,0.007799478,0.000387852,0.000524,1.64,0.55,0,32,3.42e-05,1709.5,3.232869105,0.00383,7.452112386,719.3466687,301.3713889,38.49379371,0.46818135,7589,9.62,2.72,21.32,5.56,309.5,0.8,5073.9,897.7,5.08e-05,67,22.7,2,3,2,3,0,0,11401.39,3862.859,340.34,510.51,340.34,510.51,0,0,51051,1.146118864,0.001787988,0.177357673,-0.322490628,-0.04768595
