tank,week_number,temp,wattage,metacommunity,dispersal,ln_GPP_umol_L_h,benthic_chla_g_L,periphyton_chla_g_L,phytoplankton_chla_g_L,cyanobacteria_ugL,cryptophytes_ugL,diatoms_ugL,chlorophytes_ugL,total_fluoro_g_chla_L,total_fluoro_ug_C_L,ln_fluoro_ug_C_L,zoop_raw_g_L,ln_zoop_ug_L,volume,temp_K,inv_kT,inv_kTc,flowcam_particles_mL,diameter_mean,diameter_min,diameter_max,diameter_stdev,volume_mean,volume_min,volume_max,volume_stdev,carbon_g,X0_5um,X5_10um,X10_15um,X15_20um,X20_25um,X25_30um,X30_35um,X35_40um,prop_inedible,totalN,slope_size_spectra,CTMI_scaled,CPTI_scaled,ln_gpp_corr,sample_date
34,2,23.06291667,100,9,none,1.909560785,0.007172548,2.81e-05,0.0001164,0.03,1.04,0,7.37,8.44e-06,422,2.625312451,6e-04,5.598421959,746.584277,296.2129167,39.16415329,-0.202178227,3902,3.45,1.57,9.38,1.74,49.3,0.8,431.9,74.6,2.34e-06,2289.26,1499.86,78.94,0,0,0,0,0,0,0.929352092,-1.820058954,NA,NA,-0.715751666,6/27/18
35,2,25.19923611,300,9,none,1.97184465,0.004290951,3.55e-05,0.0001664,1.42,0.25,0,5.84,7.51e-06,375.5,2.574609941,0.0048,7.677863501,592.1193919,298.3492361,38.88371972,0.078255345,41302,3.96,1.43,24.56,8.36,23.5,0.8,2980.3,132.7,3.54e-06,2457.69,640.866,0,0,6.222,0,0,0,0,2.33788644,-2.737700954,NA,NA,-0.602765291,6/27/18
36,2,24.07625,200,9,none,2.077469941,0.006810109,0.000850409,0.0001364,1.56,0.2,0,5.86,7.62e-06,381,2.580924976,9e-04,6.003887067,663.7505885,297.22625,39.03063096,-0.068655896,37579,3.96,1.43,24.56,8.36,111.8,0.8,3873.4,306.1,3.54e-06,1310.82,1560.5,196.623,18.726,18.726,6.242,0,0,624.2,2.712878666,-2.384144418,NA,NA,-0.503455035,6/27/18
37,2,24.38395833,200,10,high,2.127470087,0.006823908,4e-05,0.000162,0.44,0.58,0,4.67,5.69e-06,284.5,2.454082271,NA,NA,624.6926812,297.5339583,38.99026565,-0.028290586,39544,4.77,2.83,22.2,8.36,105.4,0.8,3873.4,301.4,6.19e-06,1167.033,1152.039,144.942,14.994,14.994,4.998,0,0,499.8,1.959441455,-2.41332246,NA,NA,-0.326612184,6/27/18
38,2,25.06381944,300,10,high,1.746230006,0.00786791,3.29e-06,5.7e-05,0.72,0.58,0,6.04,7.34e-06,367,2.564666064,5e-04,5.416100402,608.4060366,298.2138194,38.90137652,0.060598538,42555,4.3,2.3,21.47,5.81,50.2,0.8,3398.8,158.1,4.54e-06,1894.249,1290.8,29.043,0,6.454,0,0,0,0,5.106568432,-2.73582611,NA,NA,-0.818436058,6/27/18
39,2,23.54888889,100,10,high,2.179367153,0.010704837,4.7e-05,8.58e-05,1.22,0.85,0,7.5,9.57e-06,478.5,2.679881942,2e-04,4.49980967,638.9434952,296.6988889,39.10000512,-0.138030058,25897,4.61,1.7,25.43,6.97,88.4,0.8,5179,361.4,5.59e-06,2587.095,1263.465,64.176,88.242,8.022,0,0,0,0,1.483628471,-2.452315518,NA,NA,-0.500514789,6/27/18
40,2,22.25944444,0,10,high,2.000305313,0.006622641,4.55e-06,0.0002144,1.84,0.97,0,3.5,6.31e-06,315.5,2.498999364,0.0019,6.751101469,659.301801,295.4094444,39.27067429,-0.308699228,28862,5.33,3.2,23.43,2.41,60.4,0.8,3502.9,196.7,8.64e-06,1117.581,705.343,56.73,5.673,5.673,5.673,0,0,567.3,3.125321612,-2.565742835,NA,NA,-0.498694051,6/27/18
41,2,21.61388889,0,11,none,2.126237288,0.003708198,1.3e-05,0.0001258,0.36,0.89,0,2.96,4.21e-06,210.5,2.3232521,4e-04,5.192956851,769.282284,294.7638889,39.35668008,-0.39470502,15888,4.19,1.48,20.08,6.36,77.8,0.8,3586.3,314.8,4.2e-06,1072,480,16,16,16,0,0,0,0,13.24040308,-2.210845295,NA,NA,-0.197014812,6/27/18
42,2,22.45354167,100,11,none,1.887711235,0.00432616,3.38e-05,4.58e-05,0.25,0.51,0,0.39,1.14e-06,57.5,1.759667845,1e-04,3.80666249,679.6601068,295.6035417,39.24488864,-0.282913579,71251,3.72,2.17,23.6,1.9,36,0.8,3008,173.3,2.94e-06,177.062,42.816,1.561,0.892,0.446,0,0,0,0,2.122708604,-2.746609108,NA,NA,0.12804339,6/27/18
43,2,25.18993056,300,11,none,2.094937536,0.008908524,2.1e-05,0.000493,0.79,0.27,0,5.39,6.45e-06,322.5,2.508529719,1e-04,3.80666249,618.5851895,298.3399306,38.88493254,0.077042519,4079,8.52,3.07,22.02,4.74,402.3,0.8,5588.9,1173.2,3.53e-05,1766.28,718,112.008,54.568,221.144,0,0,0,0,1.454038422,-1.36616145,NA,NA,-0.413592183,6/27/18
